codigo_region;nombre_region;codigo_comuna;nombre_comuna;clasificacion;beneficiarios
6;Libertador General Bernardo O'Higgins;6102;Codegua;Mixta;17602
6;Libertador General Bernardo O'Higgins;6103;Coinco;Rural;4076
6;Libertador General Bernardo O'Higgins;6104;Coltauco;Mixta;19191
6;Libertador General Bernardo O'Higgins;6105;Doñihue;Mixta;24697
6;Libertador General Bernardo O'Higgins;6106;Graneros;Mixta;18557
6;Libertador General Bernardo O'Higgins;6107;Las Cabras;Rural;27045
6;Libertador General Bernardo O'Higgins;6108;Machalí;Urbana;34418
6;Libertador General Bernardo O'Higgins;6109;Malloa;Rural;14899
6;Libertador General Bernardo O'Higgins;6110;Mostazal;Mixta;26351
6;Libertador General Bernardo O'Higgins;6111;Olivar;Mixta;13871
6;Libertador General Bernardo O'Higgins;6112;Peumo;Mixta;11387
6;Libertador General Bernardo O'Higgins;6113;Pichidegua;Rural;18402
6;Libertador General Bernardo O'Higgins;6114;Quinta de Tilcoco;Mixta;14337
6;Libertador General Bernardo O'Higgins;6115;Rengo;Urbana;63240
6;Libertador General Bernardo O'Higgins;6116;Requínoa;Mixta;27267
6;Libertador General Bernardo O'Higgins;6117;San Vicente;Mixta;48692
6;Libertador General Bernardo O'Higgins;6201;Pichilemu;Rural;11670
6;Libertador General Bernardo O'Higgins;6202;La Estrella;Rural;4172
6;Libertador General Bernardo O'Higgins;6203;Litueche;Rural;4531
6;Libertador General Bernardo O'Higgins;6204;Marchihue;Rural;5652
6;Libertador General Bernardo O'Higgins;6205;Navidad;Rural;8051
6;Libertador General Bernardo O'Higgins;6206;Paredones;Rural;7076
6;Libertador General Bernardo O'Higgins;6301;San Fernando;Urbana;81728
6;Libertador General Bernardo O'Higgins;6302;Chépica;Mixta;14718
6;Libertador General Bernardo O'Higgins;6303;Chimbarongo;Rural;27829
6;Libertador General Bernardo O'Higgins;6304;Lolol;Rural;6491
6;Libertador General Bernardo O'Higgins;6305;Nancagua;Mixta;15604
6;Libertador General Bernardo O'Higgins;6306;Palmilla;Rural;12015
6;Libertador General Bernardo O'Higgins;6307;Peralillo;Rural;13515
6;Libertador General Bernardo O'Higgins;6308;Placilla;Rural;9850
6;Libertador General Bernardo O'Higgins;6309;Pumanque;Rural;4293
6;Libertador General Bernardo O'Higgins;6310;Santa Cruz;Mixta;44188
7;Maule;7101;Talca;Urbana;232652
