codigo_region;nombre_region;codigo_comuna;nombre_comuna;clasificacion;tramo_fonasa;beneficiarios
6;Libertador General Bernardo O'Higgins;6204;Marchihue;Rural;B;2715
6;Libertador General Bernardo O'Higgins;6204;Marchihue;Rural;C;1039
6;Libertador General Bernardo O'Higgins;6204;Marchihue;Rural;D;1158
6;Libertador General Bernardo O'Higgins;6205;Navidad;Rural;A;1868
6;Libertador General Bernardo O'Higgins;6205;Navidad;Rural;B;3640
6;Libertador General Bernardo O'Higgins;6205;Navidad;Rural;C;1084
6;Libertador General Bernardo O'Higgins;6205;Navidad;Rural;D;1459
6;Libertador General Bernardo O'Higgins;6206;Paredones;Rural;A;1345
6;Libertador General Bernardo O'Higgins;6206;Paredones;Rural;B;3901
6;Libertador General Bernardo O'Higgins;6206;Paredones;Rural;C;911
6;Libertador General Bernardo O'Higgins;6206;Paredones;Rural;D;919
6;Libertador General Bernardo O'Higgins;6301;San Fernando;Urbana;A;11634
6;Libertador General Bernardo O'Higgins;6301;San Fernando;Urbana;B;37592
6;Libertador General Bernardo O'Higgins;6301;San Fernando;Urbana;C;13172
6;Libertador General Bernardo O'Higgins;6301;San Fernando;Urbana;D;19330
6;Libertador General Bernardo O'Higgins;6302;Chépica;Mixta;A;2527
6;Libertador General Bernardo O'Higgins;6302;Chépica;Mixta;B;7804
6;Libertador General Bernardo O'Higgins;6302;Chépica;Mixta;C;2107
6;Libertador General Bernardo O'Higgins;6302;Chépica;Mixta;D;2280
6;Libertador General Bernardo O'Higgins;6303;Chimbarongo;Rural;A;4185
6;Libertador General Bernardo O'Higgins;6303;Chimbarongo;Rural;B;13914
6;Libertador General Bernardo O'Higgins;6303;Chimbarongo;Rural;C;4360
6;Libertador General Bernardo O'Higgins;6303;Chimbarongo;Rural;D;5370
6;Libertador General Bernardo O'Higgins;6304;Lolol;Rural;A;1072
6;Libertador General Bernardo O'Higgins;6304;Lolol;Rural;B;3658
6;Libertador General Bernardo O'Higgins;6304;Lolol;Rural;C;812
6;Libertador General Bernardo O'Higgins;6304;Lolol;Rural;D;949
6;Libertador General Bernardo O'Higgins;6305;Nancagua;Mixta;A;2826
6;Libertador General Bernardo O'Higgins;6305;Nancagua;Mixta;B;7555
6;Libertador General Bernardo O'Higgins;6305;Nancagua;Mixta;C;2436
6;Libertador General Bernardo O'Higgins;6305;Nancagua;Mixta;D;2787
6;Libertador General Bernardo O'Higgins;6306;Palmilla;Rural;A;1457
6;Libertador General Bernardo O'Higgins;6306;Palmilla;Rural;B;6076
6;Libertador General Bernardo O'Higgins;6306;Palmilla;Rural;C;1927
6;Libertador General Bernardo O'Higgins;6306;Palmilla;Rural;D;2555
6;Libertador General Bernardo O'Higgins;6307;Peralillo;Rural;A;2157
6;Libertador General Bernardo O'Higgins;6307;Peralillo;Rural;B;6425
6;Libertador General Bernardo O'Higgins;6307;Peralillo;Rural;C;2234
6;Libertador General Bernardo O'Higgins;6307;Peralillo;Rural;D;2699
6;Libertador General Bernardo O'Higgins;6308;Placilla;Rural;A;1591
6;Libertador General Bernardo O'Higgins;6308;Placilla;Rural;B;4944
6;Libertador General Bernardo O'Higgins;6308;Placilla;Rural;C;1523
6;Libertador General Bernardo O'Higgins;6308;Placilla;Rural;D;1792
6;Libertador General Bernardo O'Higgins;6309;Pumanque;Rural;A;768
6;Libertador General Bernardo O'Higgins;6309;Pumanque;Rural;B;2141
6;Libertador General Bernardo O'Higgins;6309;Pumanque;Rural;C;584
6;Libertador General Bernardo O'Higgins;6309;Pumanque;Rural;D;800
