codigo_region;nombre_region;codigo_comuna;nombre_comuna;clasificacion;tramo_fonasa;sexo;beneficiarios
3;Atacama;3303;Freirina;Rural;C;Mujer;564
3;Atacama;3303;Freirina;Rural;D;Hombre;1398
3;Atacama;3303;Freirina;Rural;D;Mujer;855
3;Atacama;3304;Huasco;Rural;A;Hombre;969
3;Atacama;3304;Huasco;Rural;A;Indeterminado;1
3;Atacama;3304;Huasco;Rural;A;Mujer;1243
3;Atacama;3304;Huasco;Rural;B;Hombre;1337
3;Atacama;3304;Huasco;Rural;B;Mujer;1909
3;Atacama;3304;Huasco;Rural;C;Hombre;662
3;Atacama;3304;Huasco;Rural;C;Mujer;686
3;Atacama;3304;Huasco;Rural;D;Hombre;1724
3;Atacama;3304;Huasco;Rural;D;Mujer;1096
4;Coquimbo;4101;La Serena;Urbana;A;Hombre;15266
4;Coquimbo;4101;La Serena;Urbana;A;Indeterminado;2
4;Coquimbo;4101;La Serena;Urbana;A;Mujer;19744
4;Coquimbo;4101;La Serena;Urbana;B;Hombre;38179
4;Coquimbo;4101;La Serena;Urbana;B;Indeterminado;1
4;Coquimbo;4101;La Serena;Urbana;B;Mujer;52991
4;Coquimbo;4101;La Serena;Urbana;C;Hombre;20156
4;Coquimbo;4101;La Serena;Urbana;C;Mujer;19920
4;Coquimbo;4101;La Serena;Urbana;D;Hombre;35261
4;Coquimbo;4101;La Serena;Urbana;D;Indeterminado;1
4;Coquimbo;4101;La Serena;Urbana;D;Mujer;28785
4;Coquimbo;4102;Coquimbo;Urbana;A;Hombre;17344
4;Coquimbo;4102;Coquimbo;Urbana;A;Indeterminado;4
4;Coquimbo;4102;Coquimbo;Urbana;A;Mujer;24341
4;Coquimbo;4102;Coquimbo;Urbana;B;Hombre;38871
4;Coquimbo;4102;Coquimbo;Urbana;B;Indeterminado;3
4;Coquimbo;4102;Coquimbo;Urbana;B;Mujer;53072
4;Coquimbo;4102;Coquimbo;Urbana;C;Hombre;20302
4;Coquimbo;4102;Coquimbo;Urbana;C;Indeterminado;1
4;Coquimbo;4102;Coquimbo;Urbana;C;Mujer;18699
4;Coquimbo;4102;Coquimbo;Urbana;D;Hombre;33391
4;Coquimbo;4102;Coquimbo;Urbana;D;Indeterminado;1
4;Coquimbo;4102;Coquimbo;Urbana;D;Mujer;24636
4;Coquimbo;4103;Andacollo;Rural;A;Hombre;566
4;Coquimbo;4103;Andacollo;Rural;A;Mujer;759
4;Coquimbo;4103;Andacollo;Rural;B;Hombre;1165
4;Coquimbo;4103;Andacollo;Rural;B;Mujer;1443
4;Coquimbo;4103;Andacollo;Rural;C;Hombre;527
4;Coquimbo;4103;Andacollo;Rural;C;Mujer;464
4;Coquimbo;4103;Andacollo;Rural;D;Hombre;1217
4;Coquimbo;4103;Andacollo;Rural;D;Mujer;685
4;Coquimbo;4104;La Higuera;Rural;A;Hombre;277
4;Coquimbo;4104;La Higuera;Rural;A;Mujer;291
4;Coquimbo;4104;La Higuera;Rural;B;Hombre;284
4;Coquimbo;4104;La Higuera;Rural;B;Mujer;337
4;Coquimbo;4104;La Higuera;Rural;C;Hombre;123
4;Coquimbo;4104;La Higuera;Rural;C;Mujer;81
