codigo_region;nombre_region;codigo_comuna;nombre_comuna;clasificacion;sexo;tramo_fonasa;beneficiarios
13;Metropolitana de Santiago;13130;San Miguel;Urbana;Hombre;A;7128
16;Ñuble;16305;San Nicolás;Rural;Hombre;A;1137
10;Los Lagos;10307;San Pablo;Rural;Hombre;A;941
13;Metropolitana de Santiago;13505;San Pedro;Rural;Hombre;A;1728
2;Antofagasta;2203;San Pedro de Atacama;Rural;Hombre;A;818
8;Biobío;8108;San Pedro de la Paz;Urbana;Hombre;A;8140
7;Maule;7110;San Rafael;Rural;Hombre;A;946
13;Metropolitana de Santiago;13131;San Ramón;Urbana;Hombre;A;8472
8;Biobío;8310;San Rosendo;Rural;Hombre;A;364
6;Libertador General Bernardo O'Higgins;6117;San Vicente;Mixta;Hombre;A;3019
8;Biobío;8311;Santa Bárbara;Rural;Hombre;A;1446
6;Libertador General Bernardo O'Higgins;6310;Santa Cruz;Mixta;Hombre;A;3282
8;Biobío;8109;Santa Juana;Mixta;Hombre;A;1296
5;Valparaíso;5706;Santa María;Mixta;Hombre;A;1031
13;Metropolitana de Santiago;13101;Santiago;Urbana;Hombre;A;24563
5;Valparaíso;5606;Santo Domingo;Rural;Hombre;A;572
2;Antofagasta;2103;Sierra Gorda;Rural;Hombre;A;92
13;Metropolitana de Santiago;13601;Talagante;Urbana;Hombre;A;3779
7;Maule;7101;Talca;Urbana;Hombre;A;17889
8;Biobío;8110;Talcahuano;Urbana;Hombre;A;7400
2;Antofagasta;2104;Taltal;Rural;Hombre;A;719
9;La Araucanía;9101;Temuco;Urbana;Hombre;A;21643
7;Maule;7308;Teno;Rural;Hombre;A;1718
9;La Araucanía;9117;Teodoro Schmidt;Rural;Hombre;A;2439
3;Atacama;3103;Tierra Amarilla;Rural;Hombre;A;1612
13;Metropolitana de Santiago;13303;Tiltil;Rural;Hombre;A;1344
8;Biobío;8207;Tirúa;Rural;Hombre;A;1977
2;Antofagasta;2301;Tocopilla;Rural;Hombre;A;2036
9;La Araucanía;9118;Toltén;Rural;Hombre;A;1226
8;Biobío;8111;Tomé;Urbana;Hombre;A;5197
11;Aysén del General Carlos Ibáñez del Campo;11303;Tortel;Rural;Hombre;A;16
9;La Araucanía;9210;Traiguén;Mixta;Hombre;A;1535
16;Ñuble;16207;Treguaco;Rural;Hombre;A;392
8;Biobío;8312;Tucapel;Rural;Hombre;A;1287
14;Los Ríos;14101;Valdivia;Urbana;Hombre;A;10003
3;Atacama;3301;Vallenar;Mixta;Hombre;A;4303
5;Valparaíso;5101;Valparaíso;Urbana;Hombre;A;22677
7;Maule;7309;Vichuquén;Rural;Hombre;A;462
9;La Araucanía;9211;Victoria;Mixta;Hombre;A;3831
4;Coquimbo;4106;Vicuña;Rural;Hombre;A;1785
9;La Araucanía;9119;Vilcún;Rural;Hombre;A;2825
7;Maule;7407;Villa Alegre;Mixta;Hombre;A;1430
5;Valparaíso;5804;Villa Alemana;Urbana;Hombre;A;6529
